Location	Lat	Long	wtsi-yam	other-yam	wtsi-vic	other-vic
AUCKLAND	-36.84846	174.763332	0	3	0	0
Adana	37	35.321333	1	0	0	0
Agadir	30.427755	-9.598107	0	0	1	0
Aichi	35.180188	136.906565	0	0	0	1
AixenProvence	43.529742	5.447427	0	0	1	0
Akita	39.720008	140.102564	0	0	0	1
Alabama	32.3182314	-86.902298	0	3	0	1
Alaska	64.200841	-149.493673	0	12	0	1
Alberta	53.9332706	-116.5765035	0	1	0	0
Algeria	28.033886	1.659626	1	0	0	0
Andalucia	37.544271	-4.727753	0	0	1	0
AnhuiHuashan	29.714656	118.337482	0	1	0	0
AnhuiLuyang	31.878641	117.264595	0	0	0	1
Ankara	39.92077	32.85411	1	0	1	0
AnnArbor	42.280826	-83.743038	0	1	0	0
Antalya	36.88414	30.70563	1	0	0	0
Argentina	-38.416097	-63.616672	0	2	0	0
Arizona	34.048928	-111.093731	0	1	0	1
Arkansas	35.20105	-91.8318334	0	2	0	3
Arkhangelsk	64.5472507	40.5601553	0	1	0	0
Astrakhan	46.323611	48.036667	0	0	1	0
Athens	37.983917	23.72936	0	0	1	0
Athens_GR	37.9838096	23.7275388	4	0	2	0
Attecoube	5.336246	-4.041446	1	0	1	0
Auckland	-36.84846	174.763332	0	20	0	34
Austria	47.516231	14.550072	1	0	0	0
BRISBANE	-27.471011	153.023449	0	2	0	0
BadenWurttemberg	48.661604	9.350134	2	0	0	0
Bahrain	26.0667	50.5577	0	4	0	0
Bangkok	13.727896	100.524123	0	3	0	0
Bangladesh	23.684994	90.356331	1	3	0	1
Bayern	48.790447	11.497889	0	0	1	0
Beijing	39.90403	116.407526	0	1	0	0
BeijingHuairou	40.31657	116.63196	0	1	0	0
BeijingXicheng	39.912289	116.365868	0	4	0	3
Belgium	50.503887	4.469936	2	0	1	0
Berlin	52.520007	13.404954	3	0	1	0
Blida	36.479244	2.807864	1	0	1	0
Boston	42.358431	-71.059773	0	10	0	30
Braga_PT	41.5454486	-8.426507	1	0	0	0
Brazil	-14.235004	-51.92528	0	2	0	0
Bretagne	48.202047	-2.932644	2	0	0	0
Brisbane	-27.471011	153.023449	0	85	1	142
Brussels	50.85034	4.35171	1	0	1	0
Bucharest	44.4325	26.103889	0	1	0	0
Bucuresti	44.4325	26.103889	1	0	0	0
BuenosAires	-34.603723	-58.381593	1	0	1	0
Bulgaria	42.733883	25.48583	0	0	1	0
Burgos	42.343993	-3.696906	0	0	1	0
CANBERRA	-35.282	149.128684	0	0	0	1
CHRISTCHURCH	-43.532054	172.636225	0	1	0	0
Caen	49.182863	-0.370679	1	0	0	0
California	36.778261	-119.417932	0	19	0	10
Cambodia	12.565679	104.990963	0	1	0	0
Cameroon	7.369722	12.354722	0	0	5	0
CameroonLEID	7.369722	12.354722	0	0	1	0
Canada	56.130366	-106.346771	0	1	0	0
Catalonia	41.591159	1.520862	2	0	0	0
Centre	47.751569	1.675063	0	0	1	0
Ceuta	35.889387	-5.321346	0	0	2	0
Chantaburi	12.61134	102.103855	0	1	0	0
Chicago	41.878114	-87.629798	0	7	0	0
Chile	-35.675147	-71.542969	0	1	0	0
ChongqingJiulongpo	29.502302	106.510816	0	0	0	1
ChongqingWanzhou	30.807823	108.408746	0	2	0	2
ChongqingYuzhong	29.55275	106.568892	0	0	0	1
Christchurch	-43.532054	172.636225	0	37	0	24
Colombia	4.570868	-74.297333	0	1	0	0
Colorado	39.550051	-105.782067	0	4	0	3
Concepcion	-36.8201352	-73.0443904	0	1	0	0
Connecticut	41.603221	-73.087749	0	6	0	1
CotedIvoire	7.539989	-5.54708	0	0	3	0
Crete_GR	35.240117	24.8092691	0	0	1	0
Crimea	44.952117	34.102417	0	0	1	0
CzechRep	49.817492	15.472962	0	0	1	0
Czechoslovakia	49.817492	15.472962	0	0	0	1
DARWIN	-12.462827	130.841777	0	0	0	1
Dakar	14.764504	-17.366029	4	0	9	0
Delaware	38.9108325	-75.5276699	0	2	0	1
Denmark	56.26392	9.501785	2	0	3	0
Djibouti	11.825138	42.590275	0	0	1	0
Dnepropetrovsk	48.464717	35.046183	0	0	3	0
Dnipro	48.464717	35.046183	0	2	0	0
Doneck	48.015883	37.80285	0	0	1	0
Donetsk	48.015883	37.80285	0	0	3	0
Dunedin	-45.87876	170.502798	0	0	0	1
Egypt	26.820553	30.802498	0	1	3	0
Ekaterinburg	56.8389261	60.6057025	0	1	0	0
England	52.355518	-1.17432	10	0	10	0
Estonia	58.595272	25.013607	2	0	1	0
Ethiopia	9.145	40.489673	0	1	0	0
Finland	61.92411	25.748151	2	0	1	0
Florida	27.664827	-81.515754	0	9	0	6
Formosa	-26.185201	-58.17537	0	0	1	0
FujianCangshan	23.701262	117.430061	0	1	0	1
FujianGulou	26.082593	119.304217	0	0	0	2
FujianLicheng	24.907581	118.586884	0	0	0	1
FujianMeilie	26.271711	117.645856	0	1	0	0
FujianXiangcheng	24.510787	117.654004	0	1	0	0
