Time	wtsi-yam	other-yam	wtsi-vic	other-vic
1987.0	0	0	0	2
1988.0	0	2	0	0
1989.0	0	1	0	0
1990.0	0	4	0	1
1991.0	0	4	0	0
1992.0	0	4	0	0
1993.0	0	7	0	1
1994.0	0	11	0	1
1995.0	0	16	0	0
1996.0	0	11	0	2
1997.0	0	16	0	2
1998.0	0	12	0	2
1999.0	0	19	0	0
2000.0	0	19	0	0
2001.0	0	45	0	6
2002.0	0	12	0	115
2003.0	0	10	0	31
2004.0	0	101	0	11
2005.0	0	105	0	105
2006.0	0	16	0	107
2007.0	1	108	0	86
2008.0	1	168	2	77
2009.0	0	1	1	32
2010.0	16	14	38	137
2011.0	36	45	102	211
2012.0	85	40	85	62
2013.0	11	45	4	36
2014.0	0	78	0	30
2015.0	0	201	0	97
