strain	date	date_decimal	date_precision	region	country	general_location	specific_location	source	accession	lineage
B/Chile/3162/2002	2002-03-14	2002.19726027	day	SouthAmerica	Chile	Chile	Chile	IVR	CY019586	yam
B/CANBERRA/1/2012	2012-06-05	2012.42622951	day	Oceania	Australia	CANBERRA	CANBERRA	GISAID	EPI_ISL_128712	vic
B/England/421/2010	2010-12-31	2010.99726027	day	Europe	UnitedKingdom	England	England	WTSI	WTSI3164	vic
B/Townsville/10/2011	2011-07-22	2011.55342466	day	Oceania	Australia	Townsville	Townsville	IVR	CY154249	vic
B/Brisbane/41/2010	2010-12-18	2010.96164384	day	Oceania	Australia	Brisbane	Brisbane	IVR	CY153849	vic
B/Taiwan/417/2005	2005-01-28	2005.0739726	day	SouthChina	Taiwan	Taiwan	Taiwan	IVR	CY038270	vic
B/Malaysia/1887872/2007	2007-11-07	2007.84931507	day	SoutheastAsia	Malaysia	Malaysia	Malaysia	IVR	CY118409	yam
B/Madagascar/03142/2012	2012-05-02	2012.33333333	day	Africa	Madagascar	Madagascar	Madagascar	WTSI	WTSI3975	vic
B/Victoria/162/2002	2002-07-22	2002.55342466	day	Oceania	Australia	Victoria	Victoria	GISAID	EPI_ISL_148936	vic
B/Malaysia/30474/2004	2004-12-22	2004.9726776	day	SoutheastAsia	Malaysia	Malaysia	Malaysia	IVR	CY119729	vic
B/NewYork/1089/2006	2006-04-06	2006.26027397	day	NorthAmerica	USA	NewYork	NewYork	GISAID	EPI_ISL_159900	vic
B/Chongqing-Wanzhou/1294/2011	2011-06-18	2011.46027397	day	NorthChina	China	Chongqing-Wanzhou	Chongqing-Wanzhou	GISAID	EPI_ISL_94666	vic
B/Brisbane/60-3/2010	2010-11-23	2010.89315068	day	Oceania	Australia	Brisbane	Brisbane	IVR	CY099553	vic
B/VICTORIA/813/2013	2013-08-21	2013.63561644	day	Oceania	Australia	VICTORIA	VICTORIA	GISAID	EPI_ISL_151534	vic
B/Georgia/75/2011	2011-01-12	2011.03013699	day	MiddleEast	Georgia	Georgia	Georgia	WTSI	WTSI3172	vic
B/Victoria/341/2002	2002-05-08	2002.34794521	day	Oceania	Australia	Victoria	Victoria	IVR	CY154665	yam
B/Sachsen/26/2012	2012-12-18	2012.96174863	day	Europe	Germany	Sachsen	Sachsen	WTSI	WTSI4091	vic
B/Bretagne/1083/2011	2011-02-21	2011.13972603	day	Europe	France	Bretagne	Bretagne	WTSI	WTSI3008	yam
